category,client,Human,customer,software,Work,process,other,Management,sale,plan,system,record,change,Singapore,talent,company,recruitment,Photoshop,office,opportunity,knowledge,Responsibilities,cloud,code,Adobe,team,Java,visual,solution,target,Software,technical,good,web,game,year,design,Business,level,such,s,experience,strong,Excellent,technology,digital,work,material,content,service,information,@,strategy,candidate,understanding,industry,project,business,activity,Design,performance,Job,user,platform,Requirements,market,Development,graphic,asset,’,Salary,test,Experience,creative,creation,employee,Diploma,Good,HR,/,art,application,Computer,ability,Sales,environment,management,No,medium,initiative,duty,order,ByteDance,relationship,communication,need,new,job,Art,tool,product,Location,video,training,skill,requirement,account,EA,quality,role,matter,development,Strong,marketing,resume,data
software+engineer,0,0,0,2,2,1,1,0,0,0,1,0,0,3,0,1,0,0,1,1,2,0,8,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,106,3,2,0,1,0,2,0,0,3,1,1,0,1,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,36,1,3,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
sales,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,38,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
software+engineer,0,0,0,2,2,1,1,0,0,0,1,0,0,3,0,1,0,0,1,1,2,0,8,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,106,3,2,0,1,0,2,0,0,3,1,1,0,1,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,36,1,3,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
sales,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sales,0,0,3,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sales,0,0,2,0,0,2,0,0,20,4,1,2,0,3,0,4,0,0,0,2,0,1,0,0,0,5,0,0,1,3,0,0,2,0,0,1,2,0,0,0,276,2,2,1,0,0,3,0,0,0,0,0,0,2,2,1,0,3,0,0,2,0,0,0,1,6,0,0,0,5,0,0,2,0,0,0,0,0,0,51,4,1,0,2,7,0,8,3,0,0,0,0,0,3,2,3,0,5,0,0,2,0,0,1,1,0,1,3,1,3,0,1,0,2,0,0
software+engineer,1,0,0,1,1,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1,0,5,0,1,0,0,2,1,125,2,0,0,1,0,4,0,0,0,1,0,0,0,1,2,1,2,0,0,0,1,3,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,48,1,4,0,0,0,2,0,1,0,0,0,0,0,0,1,0,2,4,0,0,2,0,0,0,1,0,0,1,2,1,0,2,0,0,0,4
hr,0,1,0,0,2,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,1,1,0,111,0,0,0,0,0,3,0,0,0,1,0,0,1,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,8,33,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
hr,1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,122,1,0,1,0,0,2,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,8,109,6,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,10,0,0,0,1,0,1,2,1,0,1,0,1,0,0,0,0,2,0
software+engineer,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,1,0,0,1,0,46,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,27,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0
